UID,연간 소득,현재 직장 근속 연수,체납 세금 압류 횟수,개설된 신용계좌 수,신용 거래 연수,최대 신용한도,신용 문제 발생 횟수,마지막 연체 이후 경과 개월 수,개인 파산 횟수,현재 대출 잔액,현재 미상환 신용액,월 상환 부채액,신용 점수,주거 형태_월세,주거 형태_자가,주거 형태_주택 담보 대출 (거주 중),주거 형태_주택 담보 대출 (비거주 중),대출 목적_결혼 자금,대출 목적_고액 구매,대출 목적_교육비,대출 목적_기타,대출 목적_부채 통합,대출 목적_사업 대출,대출 목적_소규모 사업 자금,대출 목적_여행 자금,대출 목적_의료비,대출 목적_이사 비용,대출 목적_자동차 구매,대출 목적_주택 개보수,대출 목적_주택 구매,대출 목적_휴가 비용,대출 상환 기간_단기 상환,대출 상환 기간_장기 상환
TRAIN_09254,2255022.0,10년 이상,0.0,6,16.8,484365.0,0,36,0,169702.5,418534.5,14208.0,798,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_01561,1603900.5,10년 이상,0.0,7,18.3,813549.0,0,0,0,1039758.0,134884.5,5893.5,784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_01670,2238295.5,2년,0.0,12,25.2,1224168.0,0,13,0,364483.5,431407.5,15630.0,736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_06087,1128903.0,10년 이상,0.0,9,14.2,129027.0,0,56,0,29176.5,159922.5,18186.0,685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_06669,2094379.5,2년,0.0,9,18.0,413517.0,0,18,0,502119.0,366541.5,14133.0,735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
TRAIN_05933,5367549.0,1년 미만,0.0,12,36.8,5706460.5,0,18,0,908259.0,1508784.0,32620.5,805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_08829,865926.0,10년 이상,0.0,6,39.8,3493629.0,0,11,0,343329.0,171193.5,20391.0,709,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_07945,2069467.5,10년 이상,0.0,7,11.5,0.0,0,43,0,252166.5,91534.5,16813.5,742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_03508,1417965.0,3년,0.0,8,23.0,539848.5,0,14,0,461824.5,39991.5,4428.0,658,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_02002,3019809.0,10년 이상,0.0,20,24.9,408510.0,0,17,0,1131418.5,176784.0,22000.5,776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
TRAIN_05866,6090240.0,7년,0.0,13,16.2,4642783.5,0,8,0,509131.5,552897.0,37512.0,633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_00168,1993593.0,10년 이상,0.0,20,13.0,456445.5,2,24,0,540382.5,264493.5,22840.5,758,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_02588,2461777.5,10년 이상,0.0,13,29.3,1375473.0,0,5,0,988729.5,135939.0,30430.5,787,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
TRAIN_05905,1262005.5,8년,0.0,12,18.1,752520.0,5,79,3,110995.5,180991.5,6685.5,804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_09529,6270645.0,7년,0.0,10,16.7,5883826.5,0,5,0,948048.0,776172.0,27481.5,809,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
TRAIN_06384,1262641.5,1년 미만,0.0,12,17.7,844720.5,0,27,0,357657.0,237174.0,12993.0,767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_07824,1762555.5,7년,0.0,7,16.0,1756431.0,0,14,0,795309.0,364654.5,32281.5,658,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_09779,1752136.5,5년,0.0,8,15.7,748951.5,0,77,0,531156.0,273724.5,26104.5,745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_04629,2242812.0,3년,0.0,13,18.1,808423.5,0,40,0,540526.5,97698.0,31611.0,662,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_08560,1639600.5,10년 이상,0.0,10,21.4,414679.5,0,13,0,709927.5,534541.5,17938.5,704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_09291,976863.0,1년,0.0,15,18.1,900349.5,0,14,0,544131.0,301306.5,14791.5,765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_06874,2284389.0,10년 이상,0.0,12,14.7,476667.0,0,45,0,317562.0,724926.0,16626.0,704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_06521,1529260.5,8년,2.0,13,21.6,418206.0,2,63,3,183508.5,206514.0,22603.5,793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
